tenure_months,day_of_month,invoice_amount,avg_ticket,gateway_error_code,card_brand,payment_history_score,failure_count_90d,hour_of_day,day_of_week,attempt_count,ltv_estimated,recovered
3,3,126.16,144.17,insufficient_funds,visa,0.698,1,12,5,4,126.16,0
18,5,159.12,178.23,card_declined,amex,0.465,2,13,2,4,235.26,1
38,28,15.88,14.9,expired_card,amex,0.441,3,10,5,2,43.09,1
9,3,45.26,40.12,card_declined,visa,0.646,1,13,6,1,45.26,0
0,18,162.09,140.93,expired_card,visa,0.518,3,9,2,2,162.09,1
38,23,31.5,28.65,card_declined,elo,0.771,0,22,1,2,82.86,0
1,1,136.15,124.8,insufficient_funds,visa,0.45,2,13,1,3,136.15,0
3,7,28.42,31.73,insufficient_funds,mastercard,0.416,1,19,4,2,28.42,1
5,12,99.19,111.83,expired_card,elo,0.5,0,22,1,3,99.19,0
2,16,408.53,375.5,insufficient_funds,mastercard,0.538,1,23,2,1,408.53,0
2,11,194.51,209.61,do_not_honor,mastercard,0.483,2,16,4,4,194.51,0
8,19,18.89,20.79,insufficient_funds,elo,0.474,0,13,2,2,18.89,0
0,7,207.68,200.05,insufficient_funds,amex,0.679,1,22,1,4,207.68,1
9,1,493.29,548.28,expired_card,elo,0.341,0,23,3,3,493.29,0
1,1,1172.61,1344.51,insufficient_funds,mastercard,0.558,0,19,2,2,1172.61,0
43,11,149.07,169.99,expired_card,hipercard,0.721,2,16,4,1,561.42,1
12,12,29.09,31.2,insufficient_funds,mastercard,0.455,1,10,2,1,29.09,0
0,28,143.81,138.27,insufficient_funds,visa,0.491,0,17,5,1,143.81,1
49,2,403.49,370.44,card_declined,visa,0.626,2,11,1,2,1409.27,1
8,16,82.78,95.02,insufficient_funds,visa,0.619,1,10,3,3,82.78,1
10,17,246.9,230.32,expired_card,visa,0.547,3,14,5,1,246.9,1
16,22,46.37,45.51,insufficient_funds,elo,0.52,0,14,1,4,53.2,0
70,19,136.07,126.44,expired_card,visa,0.81,2,15,1,2,700.69,0
0,1,10.71,10.7,insufficient_funds,mastercard,0.639,0,14,3,2,10.71,0
21,19,42.02,37.11,insufficient_funds,amex,0.457,3,3,3,4,57.47,1
21,10,97.22,106.23,card_declined,visa,0.664,0,15,6,2,164.52,0
67,24,70.78,70.89,expired_card,mastercard,0.844,1,13,5,1,376.01,1
21,6,30.79,30.05,do_not_honor,hipercard,0.622,0,16,1,1,46.54,1
0,22,62.71,60.14,processing_error,visa,0.566,0,14,0,2,62.71,1
4,19,131.0,134.14,expired_card,visa,0.565,3,14,1,4,131.0,0
69,20,90.54,98.14,insufficient_funds,visa,0.718,3,21,2,1,536.09,1
12,6,103.19,115.65,card_declined,mastercard,0.458,2,19,0,1,103.19,0
57,20,187.28,206.47,expired_card,mastercard,0.93,3,20,1,2,926.79,1
2,23,72.07,70.89,processing_error,hipercard,0.431,0,17,5,2,72.07,1
1,16,326.93,359.69,expired_card,mastercard,0.436,3,22,3,3,326.93,0
4,11,40.59,40.94,insufficient_funds,mastercard,0.623,1,17,0,4,40.59,0
62,6,541.88,564.34,processing_error,amex,0.979,2,1,0,2,2769.97,1
4,9,262.73,276.49,processing_error,visa,0.322,4,15,2,3,262.73,0
23,24,71.25,69.11,insufficient_funds,elo,0.457,1,16,0,4,117.67,0
5,13,75.6,75.28,card_declined,elo,0.569,3,22,1,1,75.6,0
7,22,117.45,124.24,expired_card,mastercard,0.617,2,16,1,2,117.45,1
23,23,166.37,156.78,expired_card,mastercard,0.754,1,11,3,2,266.94,1
13,20,258.45,277.59,do_not_honor,visa,0.605,0,15,3,3,262.13,1
12,20,29.71,28.41,insufficient_funds,elo,0.598,2,14,4,1,29.71,1
13,18,144.17,147.87,insufficient_funds,mastercard,0.386,2,16,2,3,144.17,1
47,16,14.91,16.42,insufficient_funds,elo,0.654,1,12,3,1,59.7,1
12,6,83.5,71.56,do_not_honor,amex,0.685,1,13,4,1,83.5,0
32,25,355.64,327.94,insufficient_funds,mastercard,0.654,0,23,1,2,789.97,0
56,29,27.75,28.26,card_declined,hipercard,0.765,1,15,1,1,124.41,1
9,15,23.61,20.82,processing_error,visa,0.663,3,21,4,3,23.61,1
0,28,118.93,108.43,processing_error,visa,0.611,0,23,1,3,118.93,0
2,31,335.24,360.29,insufficient_funds,visa,0.462,0,20,0,1,335.24,0
1,15,130.51,111.94,insufficient_funds,visa,0.478,2,14,0,1,130.51,0
1,23,18.0,18.59,generic_decline,mastercard,0.557,0,10,2,2,18.0,0
6,19,21.92,18.86,expired_card,visa,0.644,5,20,6,2,21.92,0
21,7,106.62,94.33,insufficient_funds,mastercard,0.595,2,17,3,1,146.09,1
5,2,34.29,33.16,insufficient_funds,hipercard,0.609,1,13,1,1,34.29,0
11,15,110.37,125.76,processing_error,elo,0.521,2,20,4,1,110.37,0
1,24,116.34,117.94,do_not_honor,mastercard,0.58,0,16,0,1,116.34,0
0,10,63.27,59.71,expired_card,hipercard,0.479,3,20,6,1,63.27,1
1,24,490.02,476.98,insufficient_funds,elo,0.414,3,15,6,3,490.02,0
13,20,165.16,168.57,card_declined,elo,0.657,1,17,4,3,165.16,0
8,21,286.76,297.03,insufficient_funds,visa,0.475,1,14,0,3,286.76,0
29,9,221.44,206.02,do_not_honor,mastercard,0.769,0,13,6,1,447.26,0
48,15,85.55,77.78,insufficient_funds,visa,0.513,2,19,0,2,289.34,0
6,6,82.24,82.12,insufficient_funds,visa,0.549,2,14,0,2,82.24,0
12,8,75.04,78.3,insufficient_funds,visa,0.604,4,14,4,2,75.04,0
13,4,179.01,196.01,insufficient_funds,elo,0.563,2,12,4,1,185.09,0
1,4,54.85,56.38,insufficient_funds,visa,0.536,0,20,1,1,54.85,0
1,6,452.48,478.6,card_declined,mastercard,0.573,2,21,4,1,452.48,0
28,17,50.39,50.15,insufficient_funds,mastercard,0.569,0,10,6,1,104.92,1
4,14,118.26,120.63,card_declined,visa,0.582,1,18,5,2,118.26,1
43,8,79.75,82.99,insufficient_funds,visa,0.798,0,11,1,1,274.09,1
42,26,65.49,60.31,insufficient_funds,amex,0.829,1,11,2,2,194.2,1
6,16,673.24,760.91,expired_card,amex,0.596,1,10,6,2,673.24,0
52,28,66.18,63.11,expired_card,amex,0.755,1,11,2,2,256.16,1
2,19,74.57,76.91,insufficient_funds,elo,0.573,4,14,5,2,74.57,0
49,1,54.19,55.18,processing_error,visa,0.883,1,12,0,4,209.92,0
15,27,101.38,112.13,insufficient_funds,visa,0.517,1,11,0,2,122.64,0
3,26,89.34,78.98,insufficient_funds,mastercard,0.572,1,17,0,2,89.34,1
2,19,36.17,40.34,insufficient_funds,amex,0.462,0,20,1,1,36.17,0
4,16,67.05,59.75,expired_card,visa,0.474,4,14,6,2,67.05,0
0,15,168.0,150.08,insufficient_funds,visa,0.527,2,0,0,2,168.0,1
19,15,243.39,269.84,insufficient_funds,elo,0.517,2,17,5,4,376.69,1
9,24,99.86,92.58,insufficient_funds,mastercard,0.732,2,21,4,2,99.86,0
12,16,103.01,106.46,insufficient_funds,mastercard,0.621,0,17,2,3,103.01,0
25,6,70.93,70.16,insufficient_funds,amex,0.638,2,21,3,2,130.33,1
10,2,62.56,70.71,expired_card,mastercard,0.548,2,0,3,1,62.56,0
5,4,43.19,46.84,expired_card,amex,0.641,2,11,1,2,43.19,1
14,8,24.52,23.31,insufficient_funds,visa,0.533,5,17,5,4,24.52,1
2,12,52.37,57.29,insufficient_funds,mastercard,0.506,1,14,0,1,52.37,0
0,26,218.21,200.26,insufficient_funds,visa,0.486,3,10,0,1,218.21,0
35,7,67.05,69.37,generic_decline,visa,0.476,0,22,4,1,183.78,1
39,10,71.88,77.31,card_declined,visa,0.717,2,14,1,3,229.9,0
21,7,70.65,74.96,insufficient_funds,visa,0.639,1,21,0,1,116.09,1
17,17,295.32,309.2,generic_decline,visa,0.631,4,23,4,4,384.74,0
67,18,42.85,47.09,insufficient_funds,mastercard,0.826,0,0,5,2,249.77,1
48,16,125.02,127.13,insufficient_funds,visa,0.495,1,23,4,2,472.92,1
47,29,91.98,103.8,generic_decline,visa,0.579,0,19,3,1,377.41,0
2,31,103.83,92.77,card_declined,mastercard,0.567,3,20,4,2,103.83,0
65,25,121.44,116.18,expired_card,visa,0.787,1,10,2,1,597.84,0
46,24,102.84,111.57,expired_card,visa,0.813,2,10,4,2,396.32,0
17,12,197.72,186.33,generic_decline,hipercard,0.68,2,15,2,1,231.85,0
0,17,95.24,93.61,insufficient_funds,mastercard,0.55,2,10,4,2,95.24,1
0,12,460.32,498.0,insufficient_funds,elo,0.274,1,18,6,1,460.32,0
16,24,101.69,102.87,insufficient_funds,visa,0.738,0,22,4,1,120.24,1
47,6,21.52,19.5,generic_decline,mastercard,0.725,0,23,3,2,70.9,1
0,7,172.33,155.52,insufficient_funds,visa,0.678,1,13,0,4,172.33,0
2,2,138.48,130.22,insufficient_funds,mastercard,0.321,0,16,0,4,138.48,1
3,18,100.62,94.67,insufficient_funds,elo,0.488,2,10,0,2,100.62,0
1,21,77.62,69.16,insufficient_funds,amex,0.573,1,13,3,1,77.62,1
15,1,14.94,16.44,card_declined,mastercard,0.559,2,12,1,1,17.98,1
0,16,17.34,16.21,insufficient_funds,visa,0.586,2,16,0,4,17.34,0
10,12,422.37,460.67,processing_error,elo,0.7,2,12,1,2,422.37,0
36,24,58.11,66.36,card_declined,mastercard,0.792,0,0,6,2,181.16,0
18,2,230.48,218.86,insufficient_funds,mastercard,0.373,0,12,1,1,288.9,1
65,2,23.53,26.85,processing_error,mastercard,0.619,0,9,3,4,138.17,0
5,19,38.57,35.0,insufficient_funds,mastercard,0.414,0,3,6,1,38.57,1
19,18,178.62,186.52,expired_card,visa,0.701,0,15,0,2,260.38,1
25,25,89.24,102.39,expired_card,mastercard,0.713,2,17,1,1,190.2,1
1,18,157.59,172.17,insufficient_funds,visa,0.382,1,22,3,1,157.59,1
4,28,96.57,88.74,insufficient_funds,mastercard,0.388,1,11,4,1,96.57,0
26,10,81.28,75.36,expired_card,mastercard,0.707,2,8,5,1,145.86,0
17,13,53.43,49.62,insufficient_funds,mastercard,0.475,1,19,4,1,61.74,1
1,30,33.84,38.34,expired_card,visa,0.519,3,16,0,1,33.84,0
15,4,339.82,313.87,insufficient_funds,mastercard,0.674,2,22,1,1,343.3,1
4,24,393.33,394.46,insufficient_funds,mastercard,0.674,0,15,3,1,393.33,1
6,1,38.85,37.1,generic_decline,visa,0.337,2,21,0,1,38.85,0
26,15,36.66,35.13,insufficient_funds,visa,0.479,1,7,0,1,68.0,1
14,5,71.77,69.79,generic_decline,visa,0.62,0,23,5,1,71.77,1
15,18,132.27,126.12,card_declined,visa,0.255,1,14,4,2,137.94,0
4,24,83.17,85.66,expired_card,mastercard,0.542,2,21,1,2,83.17,1
2,2,152.34,148.93,insufficient_funds,visa,0.588,1,2,3,1,152.34,0
3,6,93.56,91.9,do_not_honor,visa,0.688,0,10,6,2,93.56,0
9,11,88.29,88.45,do_not_honor,visa,0.493,2,16,3,4,88.29,0
10,8,833.75,797.78,card_declined,visa,0.67,2,0,4,1,833.75,1
42,12,61.31,65.99,card_declined,visa,0.774,0,16,4,1,212.49,0
51,29,419.54,419.98,insufficient_funds,hipercard,0.668,1,12,2,2,1668.9,0
3,4,353.42,354.4,insufficient_funds,mastercard,0.499,2,16,5,1,353.42,1
35,14,152.96,139.65,generic_decline,mastercard,0.833,3,19,0,2,369.98,0
1,15,17.66,15.17,insufficient_funds,visa,0.523,2,17,4,1,17.66,0
34,9,100.48,109.8,insufficient_funds,amex,0.698,1,19,2,1,282.06,1
69,9,61.88,68.48,insufficient_funds,mastercard,0.866,0,13,6,3,374.07,0
0,22,99.51,91.79,card_declined,mastercard,0.406,2,18,4,1,99.51,0
66,18,38.02,36.42,card_declined,elo,0.832,0,16,1,2,190.29,0
20,24,191.37,183.22,expired_card,visa,0.61,0,15,5,2,269.74,1
6,13,234.48,247.44,insufficient_funds,hipercard,0.476,1,17,2,4,234.48,0
1,18,276.37,250.44,insufficient_funds,visa,0.346,1,15,5,2,276.37,0
1,26,69.61,79.61,insufficient_funds,elo,0.428,2,15,0,3,69.61,1
67,25,38.14,33.13,generic_decline,hipercard,0.75,0,13,2,1,175.73,1
9,28,133.59,152.58,insufficient_funds,mastercard,0.592,4,17,3,1,133.59,0
17,8,465.13,404.96,generic_decline,amex,0.639,1,12,0,2,503.89,1
14,30,103.96,98.27,insufficient_funds,visa,0.593,0,0,3,2,103.96,0
49,24,146.08,135.15,do_not_honor,mastercard,0.82,1,7,6,1,514.15,0
5,24,79.34,73.62,expired_card,visa,0.545,3,22,0,2,79.34,0
1,20,62.5,71.78,processing_error,visa,0.483,0,21,2,2,62.5,0
32,30,175.41,173.22,expired_card,mastercard,0.576,1,23,5,2,417.27,0
6,14,88.96,78.81,card_declined,mastercard,0.622,4,15,0,3,88.96,1
9,23,139.89,160.13,card_declined,mastercard,0.603,0,12,0,1,139.89,0
3,22,153.43,141.59,insufficient_funds,visa,0.587,1,23,3,1,153.43,1
58,23,133.1,116.03,do_not_honor,visa,0.709,3,17,6,3,530.9,0
0,23,160.44,137.54,expired_card,visa,0.611,1,22,4,2,160.44,0
6,6,45.82,45.31,insufficient_funds,mastercard,0.557,1,13,5,3,45.82,0
10,11,43.4,48.85,insufficient_funds,visa,0.639,2,20,6,1,43.4,0
48,12,94.12,80.48,expired_card,mastercard,0.552,1,20,3,2,299.39,1
0,23,96.15,102.65,do_not_honor,hipercard,0.474,2,18,0,3,96.15,0
5,22,61.46,57.04,processing_error,hipercard,0.53,1,11,0,2,61.46,1
40,25,121.08,110.88,insufficient_funds,mastercard,0.827,1,21,4,1,338.8,0
10,24,219.02,232.41,card_declined,visa,0.616,0,15,4,2,219.02,0
4,18,280.69,301.56,insufficient_funds,mastercard,0.537,0,19,1,2,280.69,1
1,5,342.72,348.79,insufficient_funds,mastercard,0.407,1,16,4,4,342.72,0
2,19,30.4,27.68,processing_error,visa,0.312,1,9,1,2,30.4,0
1,26,34.79,29.64,insufficient_funds,hipercard,0.675,0,14,3,1,34.79,0
2,19,75.57,80.95,insufficient_funds,visa,0.384,0,14,2,2,75.57,0
13,27,104.97,108.11,insufficient_funds,visa,0.608,2,22,4,1,104.97,1
3,31,79.09,77.25,insufficient_funds,mastercard,0.594,0,21,4,2,79.09,0
25,12,59.83,54.69,insufficient_funds,amex,0.673,4,13,5,3,101.59,0
9,23,74.59,80.45,insufficient_funds,elo,0.259,0,17,1,2,74.59,1
1,16,150.16,130.83,insufficient_funds,visa,0.598,0,15,2,2,150.16,1
4,15,30.0,31.28,do_not_honor,elo,0.383,1,17,1,1,30.0,0
45,8,783.68,827.97,insufficient_funds,amex,0.877,0,14,3,1,2872.02,1
0,8,99.59,91.32,do_not_honor,elo,0.447,0,14,0,4,99.59,0
51,6,248.61,247.37,card_declined,visa,0.868,1,20,6,1,982.99,0
6,19,58.39,58.74,insufficient_funds,mastercard,0.64,0,23,2,3,58.39,1
5,5,162.81,167.27,insufficient_funds,elo,0.466,0,4,1,3,162.81,1
22,14,106.84,119.7,insufficient_funds,visa,0.538,1,0,2,1,194.58,0
9,16,209.24,212.15,processing_error,mastercard,0.699,2,16,1,3,209.24,0
8,14,81.94,71.3,card_declined,mastercard,0.623,0,19,4,1,81.94,0
33,25,387.86,369.82,insufficient_funds,mastercard,0.701,1,22,6,3,920.39,1
1,14,25.97,26.97,insufficient_funds,visa,0.392,2,12,3,1,25.97,0
30,3,227.18,215.81,insufficient_funds,visa,0.726,1,15,5,3,485.57,0
1,31,108.62,117.35,expired_card,mastercard,0.625,1,21,1,2,108.62,0
0,25,39.56,35.88,insufficient_funds,visa,0.551,0,13,2,2,39.56,1
57,20,553.59,494.3,expired_card,visa,0.892,1,7,6,2,2218.79,0
59,24,505.02,464.27,expired_card,mastercard,0.862,1,21,0,3,2164.72,1
3,4,15.49,17.24,card_declined,visa,0.674,3,12,3,1,15.49,0
8,24,114.37,120.58,insufficient_funds,mastercard,0.507,2,23,5,4,114.37,0
50,6,182.95,184.05,insufficient_funds,hipercard,0.65,0,11,4,3,715.75,1
1,16,144.72,136.05,insufficient_funds,mastercard,0.517,2,17,0,1,144.72,0
38,6,375.65,422.82,processing_error,visa,0.753,2,22,0,1,1222.89,1
35,23,312.3,348.72,insufficient_funds,visa,0.697,1,12,6,1,923.87,1
6,8,123.71,119.98,insufficient_funds,mastercard,0.364,2,14,2,2,123.71,0
15,8,738.89,794.91,insufficient_funds,mastercard,0.515,0,14,2,3,869.43,0
3,4,224.66,252.53,card_declined,amex,0.595,1,16,1,4,224.66,1
4,22,71.54,67.53,expired_card,mastercard,0.656,0,14,3,1,71.54,0
6,9,59.84,56.77,card_declined,visa,0.533,3,16,2,1,59.84,0
7,16,294.97,299.02,expired_card,visa,0.674,0,17,5,2,294.97,1
12,11,48.33,47.0,do_not_honor,mastercard,0.641,1,13,0,1,48.33,1
29,24,67.93,73.26,do_not_honor,visa,0.745,3,17,4,2,159.05,1
29,7,79.01,79.89,insufficient_funds,mastercard,0.634,0,11,6,1,173.44,1
18,28,134.07,122.48,insufficient_funds,visa,0.573,1,12,1,2,161.67,0
44,10,82.31,78.76,do_not_honor,mastercard,0.723,1,8,4,1,266.65,0
0,4,30.34,31.9,card_declined,mastercard,0.577,2,21,0,1,30.34,0
3,8,274.42,237.66,generic_decline,elo,0.383,5,14,3,1,274.42,0
9,3,68.25,65.02,insufficient_funds,visa,0.498,1,12,2,4,68.25,0
0,15,587.99,502.63,generic_decline,amex,0.508,3,18,4,3,587.99,0
9,8,128.05,140.38,insufficient_funds,mastercard,0.55,0,14,6,3,128.05,1
0,26,301.29,266.69,expired_card,elo,0.563,1,15,5,2,301.29,0
29,16,171.19,149.48,insufficient_funds,mastercard,0.661,1,14,1,1,324.52,1
27,7,314.37,341.4,insufficient_funds,elo,0.709,0,12,5,1,687.49,1
4,15,162.23,142.25,insufficient_funds,mastercard,0.669,1,23,0,2,162.23,1
56,6,120.46,127.12,insufficient_funds,visa,0.682,1,0,4,1,559.61,0
19,6,258.14,248.84,insufficient_funds,visa,0.647,1,13,0,2,347.37,1
5,9,889.53,975.38,generic_decline,hipercard,0.578,1,18,5,1,889.53,0
32,4,76.92,69.6,generic_decline,mastercard,0.549,3,15,6,1,167.66,0
5,6,198.05,173.36,do_not_honor,elo,0.597,1,15,4,2,198.05,1
4,28,97.29,89.36,generic_decline,amex,0.533,3,16,1,4,97.29,1
14,20,153.23,173.09,processing_error,visa,0.599,1,19,1,2,176.36,0
1,28,101.48,111.5,do_not_honor,amex,0.613,1,8,1,1,101.48,1
28,8,14.38,13.46,insufficient_funds,visa,0.686,2,7,1,2,28.16,1
64,25,81.82,74.61,insufficient_funds,visa,0.911,4,13,3,2,378.02,1
4,12,237.53,213.08,do_not_honor,mastercard,0.349,3,15,0,2,237.53,0
7,5,49.53,45.39,insufficient_funds,elo,0.496,1,20,5,3,49.53,1
1,24,221.51,201.91,card_declined,mastercard,0.267,1,0,3,1,221.51,1
1,2,115.07,128.47,expired_card,visa,0.592,2,17,3,1,115.07,1
0,13,82.46,70.59,insufficient_funds,mastercard,0.618,0,13,4,2,82.46,1
3,25,218.55,243.47,insufficient_funds,elo,0.604,1,15,0,1,218.55,1
0,18,179.0,154.37,card_declined,mastercard,0.567,3,16,3,1,179.0,0
17,16,142.02,155.95,expired_card,visa,0.694,5,11,2,2,194.05,1
70,12,241.01,235.64,insufficient_funds,visa,0.848,1,11,2,1,1305.84,1
6,3,117.07,102.22,expired_card,mastercard,0.499,1,20,3,1,117.07,0
10,31,22.68,24.71,insufficient_funds,visa,0.573,1,21,1,2,22.68,0
4,6,69.86,64.76,insufficient_funds,elo,0.525,1,12,0,4,69.86,1
36,8,19.68,21.91,card_declined,visa,0.68,4,17,2,4,59.81,0
13,7,175.27,188.53,insufficient_funds,mastercard,0.445,0,16,0,1,178.03,0
4,27,216.7,248.02,generic_decline,amex,0.345,1,17,0,2,216.7,0
14,24,225.63,248.09,insufficient_funds,mastercard,0.444,1,21,4,1,252.78,1
0,15,150.94,139.21,generic_decline,elo,0.535,2,17,4,2,150.94,0
2,29,230.95,224.66,processing_error,visa,0.424,2,21,0,2,230.95,0
4,2,24.09,25.51,do_not_honor,mastercard,0.646,0,15,3,1,24.09,1
39,26,88.84,83.94,card_declined,elo,0.718,1,7,6,2,249.62,0
56,2,27.81,28.2,expired_card,amex,0.743,1,10,6,4,124.14,0
3,12,71.1,65.5,expired_card,mastercard,0.331,1,17,2,1,71.1,0
0,2,410.8,430.88,expired_card,visa,0.619,0,14,6,3,410.8,1
1,31,258.15,245.92,insufficient_funds,visa,0.643,2,15,5,1,258.15,0
0,27,176.04,152.55,insufficient_funds,elo,0.512,0,19,0,2,176.04,1
32,17,83.18,94.85,insufficient_funds,mastercard,0.814,1,17,1,2,228.48,1
1,7,40.44,44.61,card_declined,visa,0.565,2,19,1,2,40.44,0
29,9,115.42,108.62,insufficient_funds,mastercard,0.826,0,3,0,3,235.81,1
19,15,262.18,233.05,expired_card,visa,0.372,0,22,3,1,325.33,1
1,10,140.68,150.61,insufficient_funds,visa,0.659,1,14,4,2,140.68,0
66,1,23.9,21.9,insufficient_funds,amex,0.822,2,18,0,1,114.43,0
5,20,107.27,110.66,expired_card,mastercard,0.628,2,14,3,4,107.27,1
14,18,17.86,19.36,do_not_honor,visa,0.679,2,11,1,2,19.73,0
49,27,199.69,186.06,insufficient_funds,amex,0.77,1,16,1,1,707.83,1
4,15,52.82,49.41,do_not_honor,hipercard,0.621,1,8,0,2,52.82,0
28,11,32.98,28.64,insufficient_funds,amex,0.717,1,4,0,2,59.92,1
4,16,202.14,191.22,insufficient_funds,elo,0.486,2,12,4,2,202.14,1
30,6,160.66,165.36,insufficient_funds,hipercard,0.751,1,14,1,4,372.06,0
1,19,120.16,107.75,insufficient_funds,visa,0.503,1,11,6,4,120.16,0
2,24,684.91,778.01,insufficient_funds,amex,0.582,1,23,6,2,684.91,1
3,5,171.82,183.28,insufficient_funds,visa,0.657,3,1,0,2,171.82,0
30,10,55.12,50.22,card_declined,visa,0.83,2,21,5,1,113.0,1
1,26,155.03,156.45,expired_card,visa,0.519,0,14,4,1,155.03,0
6,16,75.81,73.34,insufficient_funds,visa,0.429,2,19,2,3,75.81,0
5,16,301.17,290.54,do_not_honor,elo,0.569,1,22,1,1,301.17,0
5,22,125.46,127.72,card_declined,amex,0.673,0,16,3,1,125.46,1
26,17,136.99,120.89,insufficient_funds,visa,0.46,1,15,6,2,233.99,0
0,3,27.14,24.82,insufficient_funds,elo,0.407,5,17,0,1,27.14,1
4,24,103.22,92.37,insufficient_funds,elo,0.442,0,23,6,3,103.22,0
0,28,92.98,83.89,processing_error,visa,0.662,0,8,4,4,92.98,1
1,2,39.35,41.18,insufficient_funds,elo,0.523,2,16,0,1,39.35,1
5,4,80.29,92.24,insufficient_funds,visa,0.558,0,15,3,4,80.29,1
40,22,143.95,150.48,insufficient_funds,visa,0.463,1,20,0,2,459.8,0
0,18,97.37,111.53,insufficient_funds,mastercard,0.424,0,9,4,1,97.37,0
38,12,27.88,28.52,insufficient_funds,amex,0.856,2,17,0,2,82.49,1
64,16,76.68,71.7,expired_card,visa,0.814,0,13,2,4,363.28,0
15,22,64.5,71.7,generic_decline,visa,0.536,0,19,0,1,78.42,1
3,16,116.08,101.01,insufficient_funds,mastercard,0.575,2,7,6,1,116.08,0
11,5,105.46,92.88,insufficient_funds,elo,0.551,2,21,1,1,105.46,1
10,4,67.81,76.92,insufficient_funds,amex,0.59,0,0,3,1,67.81,0
2,14,65.5,68.45,insufficient_funds,mastercard,0.458,1,22,1,2,65.5,0
10,28,103.76,117.11,card_declined,elo,0.54,0,15,3,1,103.76,0
57,17,229.94,204.62,generic_decline,mastercard,0.754,2,22,0,2,918.49,1
8,12,125.2,135.28,card_declined,visa,0.715,0,0,4,4,125.2,0
37,27,346.03,318.5,insufficient_funds,mastercard,0.79,2,22,1,2,895.29,0
65,12,267.47,254.9,do_not_honor,visa,0.372,2,16,6,1,1311.67,0
26,16,369.41,413.63,processing_error,elo,0.773,1,7,3,1,800.6,1
54,4,329.69,320.91,insufficient_funds,visa,0.78,1,23,6,2,1357.45,1
15,23,391.81,411.86,do_not_honor,visa,0.478,1,12,0,2,450.47,1
28,22,35.1,39.18,card_declined,hipercard,0.531,1,10,1,2,81.97,1
3,24,173.73,193.06,processing_error,amex,0.523,2,7,3,4,173.73,0
1,10,288.48,245.98,insufficient_funds,mastercard,0.611,0,16,3,1,288.48,1
0,14,338.71,303.98,insufficient_funds,elo,0.494,0,18,5,2,338.71,0
4,6,49.29,55.48,processing_error,hipercard,0.434,2,13,0,4,49.29,0
41,29,175.27,178.55,insufficient_funds,visa,0.605,1,18,4,2,560.23,0
43,4,104.5,103.88,generic_decline,mastercard,0.52,2,21,3,2,343.08,1
11,19,504.29,438.52,insufficient_funds,visa,0.638,2,15,6,2,504.29,1
13,22,28.5,24.44,insufficient_funds,elo,0.468,0,23,5,1,28.5,1
20,5,49.36,56.07,card_declined,visa,0.398,1,9,1,1,82.55,0
19,12,19.57,19.42,expired_card,elo,0.512,0,19,0,1,27.11,1
14,2,111.15,120.7,insufficient_funds,visa,0.411,1,19,3,2,122.98,1
7,17,730.24,668.9,card_declined,mastercard,0.621,3,16,3,2,730.24,0
31,31,93.97,86.56,card_declined,elo,0.521,3,9,6,3,201.62,0
58,14,106.93,108.86,expired_card,visa,0.715,0,16,0,1,498.09,1
29,31,159.36,177.34,insufficient_funds,amex,0.755,0,10,3,2,385.0,1
4,4,88.16,82.57,expired_card,visa,0.511,0,8,6,1,88.16,0
3,12,135.31,128.36,expired_card,mastercard,0.416,2,16,0,1,135.31,0
67,27,138.49,140.59,processing_error,elo,0.814,3,17,0,3,745.71,1
14,26,46.12,39.76,expired_card,visa,0.475,1,20,0,1,46.12,0
65,10,89.91,86.64,insufficient_funds,mastercard,0.91,2,11,0,2,445.84,1
4,21,188.95,192.14,insufficient_funds,mastercard,0.484,1,22,1,3,188.95,0
4,26,223.02,189.89,insufficient_funds,mastercard,0.469,1,16,4,1,223.02,1
3,24,309.78,322.61,insufficient_funds,mastercard,0.446,0,17,3,1,309.78,1
12,19,131.68,113.94,expired_card,mastercard,0.66,0,10,0,3,131.68,0
59,5,134.08,142.93,processing_error,visa,0.782,3,20,2,1,666.43,1
27,3,190.34,207.57,generic_decline,visa,0.516,2,18,2,3,417.99,0
0,18,57.63,63.49,expired_card,hipercard,0.496,3,10,4,3,57.63,0
0,16,55.57,58.46,card_declined,mastercard,0.297,1,15,1,3,55.57,0
6,7,87.49,89.11,expired_card,visa,0.537,6,14,0,4,87.49,0
0,9,31.49,29.67,insufficient_funds,visa,0.622,2,23,0,2,31.49,0
9,12,140.31,137.14,expired_card,elo,0.571,2,23,0,1,140.31,1
1,16,248.22,217.47,insufficient_funds,mastercard,0.427,2,16,5,1,248.22,0
7,12,52.02,55.25,insufficient_funds,visa,0.656,0,14,0,3,52.02,1
2,12,143.87,123.35,do_not_honor,amex,0.675,5,15,1,2,143.87,0
59,4,55.9,54.45,expired_card,hipercard,0.891,1,12,2,2,253.88,1
0,26,39.62,39.69,insufficient_funds,amex,0.503,2,20,5,1,39.62,0
53,18,606.89,634.22,expired_card,mastercard,0.897,3,15,5,2,2628.4,0
3,5,40.13,38.24,generic_decline,visa,0.474,1,16,4,2,40.13,1
2,14,31.37,30.83,insufficient_funds,visa,0.575,1,4,4,3,31.37,0
16,13,118.29,121.39,generic_decline,visa,0.558,2,8,3,3,141.89,1
5,18,124.08,139.83,generic_decline,mastercard,0.691,3,11,6,1,124.08,0
19,18,176.81,185.93,expired_card,visa,0.659,1,15,0,1,259.55,0
